ParkingSpaceId,ParkingMeterStatus,OccupancyStatus,OccupancyDateChanged
10323A,N,O,03/30/2022 20:48:35 PM
10323B,N,O,03/30/2022 20:48:35 PM
10325A,N,V,03/30/2022 23:28:47 PM
10325B,N,O,03/30/2022 23:28:47 PM
10326A,N,O,03/30/2022 17:55:41 PM
10326B,N,O,03/30/2022 17:55:41 PM
10327A,N,O,03/30/2022 20:53:45 PM
10327B,N,O,03/30/2022 20:53:45 PM
10328A,N,O,03/30/2022 09:23:09 AM
10328B,N,O,03/30/2022 09:23:09 AM
10329B,N,O,03/30/2022 06:10:47 AM
1032A,N,V,03/30/2022 23:30:08 PM
1032B,N,O,03/30/2022 23:30:08 PM
10330A,N,O,03/30/2022 06:52:30 AM
10331A,N,V,03/30/2022 21:02:27 PM
10331B,N,O,03/30/2022 21:02:27 PM
10332A,N,O,03/30/2022 22:47:32 PM
10332B,N,O,03/30/2022 22:47:32 PM
10333B,N,O,03/30/2022 06:11:48 AM
10334A,N,O,03/30/2022 13:59:37 PM
10334B,N,O,03/30/2022 13:59:37 PM
10335A,N,O,03/30/2022 17:28:42 PM
10335B,N,O,03/30/2022 17:28:42 PM
10336A,N,O,03/30/2022 18:46:31 PM
10336B,N,O,03/30/2022 18:46:31 PM
10337A,N,O,03/30/2022 08:34:12 AM
10337B,N,O,03/30/2022 08:34:12 AM
10338A,N,O,03/30/2022 22:05:06 PM
10338B,N,O,03/30/2022 22:05:06 PM
1033A,N,V,03/30/2022 17:43:32 PM
1033B,N,V,03/30/2022 17:43:32 PM
1034A,N,V,03/30/2022 22:27:34 PM
1034B,N,V,03/30/2022 22:27:34 PM
10350A,N,O,03/30/2022 14:49:28 PM
10350B,N,O,03/30/2022 14:49:28 PM
10351A,N,O,03/30/2022 18:26:32 PM
10351B,N,O,03/30/2022 18:26:32 PM
10352B,N,O,03/30/2022 20:26:07 PM
10358A,N,O,03/30/2022 18:15:59 PM
10358B,N,O,03/30/2022 18:15:59 PM
10359A,N,O,03/30/2022 19:20:36 PM
10359B,N,O,03/30/2022 19:20:36 PM
1035A,N,V,03/30/2022 23:24:41 PM
1035B,N,V,03/30/2022 23:24:41 PM
10362B,N,O,03/30/2022 14:57:06 PM
10364B,N,O,03/30/2022 06:10:42 AM
10365A,N,O,03/30/2022 22:17:24 PM
10365B,N,O,03/30/2022 22:17:24 PM
10369A,N,O,03/30/2022 17:32:41 PM
10369B,N,O,03/30/2022 17:32:41 PM
1036A,N,V,03/30/2022 14:41:44 PM
10371A,N,O,03/30/2022 06:13:44 AM
10372A,N,O,03/30/2022 06:12:51 AM
10372B,N,O,03/30/2022 06:12:51 AM
10373A,N,O,03/30/2022 19:39:34 PM
10373B,N,O,03/30/2022 19:39:34 PM
10374A,N,O,03/30/2022 20:15:55 PM
10374B,N,O,03/30/2022 20:15:55 PM
